,Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,Individuals Directly Served,Population Estimate 2000m,geometry,pop_sum
0,Rwanda - Kirwa - 1012699,Ruhango,Kirwa,1012699,Identified,Technical,006f100000dhyeVAAQ,2018,827.0,4586.0,"POLYGON ((29.64877 -2.22162, 29.648630357073493 -2.2244624970695575, 29.648212773131693 -2.227277619338468, 29.647521269736234 -2.2300382556403795, 29.646562506442827 -2.2327178195385877, 29.6453457166661 -2.235290505367954, 29.643882618756773 -2.2377315367575688, 29.64218730314752 -2.2400174052407458, 29.640276096654407 -2.24212609665441, 29.638167405240743 -2.2440373031475196, 29.635881536757566 -2.245732618756774, 29.633440505367954 -2.2471957166661025, 29.630867819538587 -2.2484125064428273, 29.628188255640378 -2.2493712697362342, 29.625427619338467 -2.250062773131694, 29.622612497069557 -2.250480357073494, 29.61977 -2.25062, 29.61692750293044 -2.250480357073494, 29.61411238066153 -2.250062773131694, 29.61135174435962 -2.2493712697362342, 29.60867218046141 -2.2484125064428273, 29.606099494632044 -2.2471957166661025, 29.603658463242432 -2.245732618756774, 29.601372594759255 -2.2440373031475196, 29.59926390334559 -2.24212609665441, 29.59735269685248 -2.2400174052407458, 29.595657381243225 -2.2377315367575688, 29.5941942833339 -2.235290505367954, 29.59297749355717 -2.2327178195385877, 29.592018730263764 -2.2300382556403795, 29.591327226868305 -2.227277619338468, 29.590909642926505 -2.2244624970695575, 29.59077 -2.22162, 29.590909642926505 -2.218777502930443, 29.591327226868305 -2.2159623806615323, 29.592018730263764 -2.213201744359621, 29.59297749355717 -2.2105221804614126, 29.5941942833339 -2.207949494632046, 29.595657381243225 -2.2055084632424315, 29.59735269685248 -2.2032225947592545, 29.59926390334559 -2.20111390334559, 29.601372594759255 -2.1992026968524807, 29.603658463242432 -2.197507381243226, 29.606099494632044 -2.196044283333898, 29.60867218046141 -2.194827493557173, 29.61135174435962 -2.193868730263766, 29.61411238066153 -2.1931772268683063, 29.61692750293044 -2.1927596429265064, 29.61977 -2.1926200000000002, 29.622612497069557 -2.1927596429265064, 29.625427619338467 -2.1931772268683063, 29.628188255640378 -2.193868730263766, 29.630867819538587 -2.194827493557173, 29.633440505367954 -2.196044283333898, 29.635881536757566 -2.197507381243226, 29.638167405240743 -2.1992026968524807, 29.640276096654407 -2.20111390334559, 29.64218730314752 -2.2032225947592545, 29.643882618756773 -2.2055084632424315, 29.6453457166661 -2.207949494632046, 29.646562506442827 -2.2105221804614126, 29.647521269736234 -2.213201744359621, 29.648212773131693 -2.2159623806615323, 29.648630357073493 -2.218777502930443, 29.64877 -2.22162))",13492
1,Rwanda - Kajeje - 1022230,Muhanga,Kajeje,1022230,Identified,Requested,0063Z00000hvy75QAA,2022,300.0,,"POLYGON ((29.821433 -1.971735, 29.821293357073493 -1.9745774970695573, 29.820875773131693 -1.9773926193384677, 29.820184269736234 -1.9801532556403794, 29.819225506442827 -1.9828328195385876, 29.8180087166661 -1.985405505367954, 29.816545618756773 -1.9878465367575684, 29.81485030314752 -1.9901324052407456, 29.812939096654407 -1.99224109665441, 29.810830405240743 -1.9941523031475195, 29.808544536757566 -1.9958476187567737, 29.806103505367954 -1.9973107166661024, 29.803530819538587 -1.9985275064428274, 29.800851255640378 -1.9994862697362341, 29.798090619338467 -2.0001777731316936, 29.795275497069557 -2.0005953570734936, 29.792433 -2.000735, 29.78959050293044 -2.0005953570734936, 29.78677538066153 -2.0001777731316936, 29.78401474435962 -1.9994862697362341, 29.78133518046141 -1.9985275064428274, 29.778762494632044 -1.9973107166661024, 29.776321463242432 -1.9958476187567737, 29.774035594759255 -1.9941523031475195, 29.77192690334559 -1.99224109665441, 29.77001569685248 -1.9901324052407456, 29.768320381243225 -1.9878465367575684, 29.7668572833339 -1.985405505367954, 29.76564049355717 -1.9828328195385876, 29.764681730263764 -1.9801532556403794, 29.763990226868305 -1.9773926193384677, 29.763572642926505 -1.9745774970695573, 29.763433 -1.971735, 29.763572642926505 -1.9688925029304427, 29.763990226868305 -1.9660773806615324, 29.764681730263764 -1.9633167443596207, 29.76564049355717 -1.9606371804614124, 29.7668572833339 -1.958064494632046, 29.768320381243225 -1.9556234632424316, 29.77001569685248 -1.9533375947592544, 29.77192690334559 -1.95122890334559, 29.774035594759255 -1.9493176968524806, 29.776321463242432 -1.9476223812432263, 29.778762494632044 -1.9461592833338976, 29.78133518046141 -1.9449424935571726, 29.78401474435962 -1.943983730263766, 29.78677538066153 -1.9432922268683064, 29.78959050293044 -1.9428746429265062, 29.792433 -1.942735, 29.795275497069557 -1.9428746429265062, 29.798090619338467 -1.9432922268683064, 29.800851255640378 -1.943983730263766, 29.803530819538587 -1.9449424935571726, 29.806103505367954 -1.9461592833338976, 29.808544536757566 -1.9476223812432263, 29.810830405240743 -1.9493176968524806, 29.812939096654407 -1.95122890334559, 29.81485030314752 -1.9533375947592542, 29.816545618756773 -1.9556234632424316, 29.8180087166661 -1.958064494632046, 29.819225506442827 -1.9606371804614124, 29.820184269736234 -1.9633167443596207, 29.820875773131693 -1.9660773806615324, 29.821293357073493 -1.9688925029304427, 29.821433 -1.971735))",15984
2,Rwanda - Nyaruhombo - 1009280,Huye,Nyaruhombo,1009280,Complete,In Service,006f100000aWV5fAAG,2023,2373.0,5115.0,"POLYGON ((29.70339 -2.41201, 29.703250357073493 -2.4148524970695573, 29.702832773131693 -2.417667619338468, 29.702141269736234 -2.4204282556403793, 29.701182506442827 -2.4231078195385876, 29.6999657166661 -2.425680505367954, 29.698502618756773 -2.4281215367575686, 29.69680730314752 -2.4304074052407456, 29.694896096654407 -2.43251609665441, 29.692787405240743 -2.4344273031475194, 29.690501536757566 -2.436122618756774, 29.688060505367954 -2.4375857166661024, 29.685487819538587 -2.438802506442827, 29.682808255640378 -2.439761269736234, 29.680047619338467 -2.440452773131694, 29.677232497069557 -2.4408703570734938, 29.67439 -2.44101, 29.67154750293044 -2.4408703570734938, 29.66873238066153 -2.440452773131694, 29.66597174435962 -2.439761269736234, 29.66329218046141 -2.438802506442827, 29.660719494632044 -2.4375857166661024, 29.658278463242432 -2.436122618756774, 29.655992594759255 -2.4344273031475194, 29.65388390334559 -2.43251609665441, 29.65197269685248 -2.4304074052407456, 29.650277381243225 -2.4281215367575686, 29.6488142833339 -2.425680505367954, 29.64759749355717 -2.4231078195385876, 29.646638730263764 -2.4204282556403793, 29.645947226868305 -2.417667619338468, 29.645529642926505 -2.4148524970695573, 29.64539 -2.41201, 29.645529642926505 -2.4091675029304427, 29.645947226868305 -2.406352380661532, 29.646638730263764 -2.4035917443596206, 29.64759749355717 -2.4009121804614124, 29.6488142833339 -2.398339494632046, 29.650277381243225 -2.3958984632424314, 29.65197269685248 -2.3936125947592544, 29.65388390334559 -2.39150390334559, 29.655992594759255 -2.3895926968524805, 29.658278463242432 -2.387897381243226, 29.660719494632044 -2.3864342833338976, 29.66329218046141 -2.385217493557173, 29.66597174435962 -2.384258730263766, 29.66873238066153 -2.383567226868306, 29.67154750293044 -2.383149642926506, 29.67439 -2.38301, 29.677232497069557 -2.383149642926506, 29.680047619338467 -2.383567226868306, 29.682808255640378 -2.384258730263766, 29.685487819538587 -2.385217493557173, 29.688060505367954 -2.3864342833338976, 29.690501536757566 -2.387897381243226, 29.692787405240743 -2.3895926968524805, 29.694896096654407 -2.39150390334559, 29.69680730314752 -2.3936125947592544, 29.698502618756773 -2.3958984632424314, 29.6999657166661 -2.398339494632046, 29.701182506442827 -2.4009121804614124, 29.702141269736234 -2.4035917443596206, 29.702832773131693 -2.406352380661532, 29.703250357073493 -2.4091675029304427, 29.70339 -2.41201))",17644
3,Rwanda - Birambo - 1037670,Gicumbi,Birambo,1037670,Under Construction,,0063Z00000pof1dQAA,2023,500.0,,"POLYGON ((30.16757133 -1.58050327, 30.167431687073496 -1.5833457670695572, 30.167014103131695 -1.5861608893384676, 30.166322599736237 -1.5889215256403793, 30.16536383644283 -1.5916010895385875, 30.164147046666102 -1.594173775367954, 30.162683948756776 -1.5966148067575683, 30.16098863314752 -1.5989006752407455, 30.15907742665441 -1.6010093666544098, 30.156968735240746 -1.6029205731475193, 30.154682866757568 -1.6046158887567736, 30.152241835367956 -1.6060789866661023, 30.14966914953859 -1.6072957764428273, 30.14698958564038 -1.608254539736234, 30.14422894933847 -1.6089460431316935, 30.14141382706956 -1.6093636270734937, 30.13857133 -1.6095032699999998, 30.135728832930443 -1.6093636270734937, 30.132913710661533 -1.6089460431316935, 30.130153074359622 -1.608254539736234, 30.127473510461414 -1.6072957764428273, 30.124900824632046 -1.6060789866661023, 30.122459793242435 -1.6046158887567736, 30.120173924759257 -1.6029205731475193, 30.118065233345593 -1.6010093666544098, 30.11615402685248 -1.5989006752407455, 30.114458711243227 -1.5966148067575683, 30.1129956133339 -1.594173775367954, 30.111778823557174 -1.5916010895385875, 30.110820060263766 -1.5889215256403793, 30.110128556868307 -1.5861608893384676, 30.109710972926507 -1.5833457670695572, 30.10957133 -1.58050327, 30.109710972926507 -1.5776607729304426, 30.110128556868307 -1.5748456506615323, 30.110820060263766 -1.5720850143596206, 30.111778823557174 -1.5694054504614123, 30.1129956133339 -1.566832764632046, 30.114458711243227 -1.5643917332424315, 30.11615402685248 -1.5621058647592543, 30.118065233345593 -1.55999717334559, 30.120173924759257 -1.5580859668524805, 30.122459793242435 -1.5563906512432262, 30.124900824632046 -1.5549275533338975, 30.127473510461414 -1.5537107635571725, 30.130153074359622 -1.5527520002637658, 30.132913710661533 -1.5520604968683063, 30.135728832930443 -1.5516429129265061, 30.13857133 -1.55150327, 30.14141382706956 -1.5516429129265061, 30.14422894933847 -1.5520604968683063, 30.14698958564038 -1.5527520002637658, 30.14966914953859 -1.5537107635571725, 30.152241835367956 -1.5549275533338975, 30.154682866757568 -1.5563906512432262, 30.156968735240746 -1.5580859668524805, 30.15907742665441 -1.55999717334559, 30.16098863314752 -1.5621058647592543, 30.162683948756776 -1.5643917332424315, 30.164147046666102 -1.566832764632046, 30.16536383644283 -1.5694054504614123, 30.166322599736237 -1.5720850143596206, 30.167014103131695 -1.5748456506615323, 30.167431687073496 -1.5776607729304426, 30.16757133 -1.58050327))",8871
4,Rwanda - Ruharazi - 1009311,Nyaruguru,Ruharazi,1009311,Complete,In Service,006f100000asEzNAAU,2019,,7393.0,"POLYGON ((29.65527167 -2.77676167, 29.655132027073495 -2.7796041670695573, 29.654714443131695 -2.782419289338468, 29.654022939736237 -2.7851799256403793, 29.65306417644283 -2.7878594895385875, 29.651847386666102 -2.790432175367954, 29.650384288756776 -2.7928732067575686, 29.64868897314752 -2.7951590752407456, 29.64677776665441 -2.79726776665441, 29.644669075240746 -2.7991789731475194, 29.642383206757568 -2.800874288756774, 29.639942175367956 -2.8023373866661023, 29.63736948953859 -2.803554176442827, 29.63468992564038 -2.804512939736234, 29.63192928933847 -2.805204443131694, 29.62911416706956 -2.8056220270734937, 29.62627167 -2.80576167, 29.623429172930443 -2.8056220270734937, 29.620614050661533 -2.805204443131694, 29.617853414359622 -2.804512939736234, 29.615173850461414 -2.803554176442827, 29.612601164632046 -2.8023373866661023, 29.610160133242434 -2.800874288756774, 29.607874264759257 -2.7991789731475194, 29.605765573345593 -2.79726776665441, 29.60385436685248 -2.7951590752407456, 29.602159051243227 -2.7928732067575686, 29.6006959533339 -2.790432175367954, 29.599479163557174 -2.7878594895385875, 29.598520400263766 -2.7851799256403793, 29.597828896868307 -2.782419289338468, 29.597411312926507 -2.7796041670695573, 29.59727167 -2.77676167, 29.597411312926507 -2.7739191729304427, 29.597828896868307 -2.771104050661532, 29.598520400263766 -2.7683434143596206, 29.599479163557174 -2.7656638504614124, 29.6006959533339 -2.763091164632046, 29.602159051243227 -2.7606501332424314, 29.60385436685248 -2.7583642647592543, 29.605765573345593 -2.75625557334559, 29.607874264759257 -2.7543443668524805, 29.610160133242434 -2.752649051243226, 29.612601164632046 -2.7511859533338976, 29.615173850461414 -2.749969163557173, 29.617853414359622 -2.749010400263766, 29.620614050661533 -2.748318896868306, 29.623429172930443 -2.747901312926506, 29.62627167 -2.74776167, 29.62911416706956 -2.747901312926506, 29.63192928933847 -2.748318896868306, 29.63468992564038 -2.749010400263766, 29.63736948953859 -2.749969163557173, 29.639942175367956 -2.7511859533338976, 29.642383206757568 -2.752649051243226, 29.644669075240746 -2.7543443668524805, 29.64677776665441 -2.75625557334559, 29.64868897314752 -2.7583642647592543, 29.650384288756776 -2.7606501332424314, 29.651847386666102 -2.763091164632046, 29.65306417644283 -2.7656638504614124, 29.654022939736237 -2.7683434143596206, 29.654714443131695 -2.771104050661532, 29.655132027073495 -2.7739191729304427, 29.65527167 -2.77676167))",17113
5,Rwanda - Kamegeri - 1009316,Nyamagabe,Kamegeri,1009316,Cancelled,Technical,006f100000asFDPAA2,2018,,5048.0,"POLYGON ((29.58233333 -2.52444444, 29.582193687073495 -2.527286937069557, 29.581776103131695 -2.5301020593384678, 29.581084599736236 -2.5328626956403792, 29.58012583644283 -2.5355422595385875, 29.5789090466661 -2.538114945367954, 29.577445948756775 -2.5405559767575685, 29.57575063314752 -2.5428418452407455, 29.57383942665441 -2.54495053665441, 29.571730735240745 -2.5468617431475193, 29.569444866757568 -2.548557058756774, 29.567003835367956 -2.5500201566661023, 29.56443114953859 -2.551236946442827, 29.56175158564038 -2.552195709736234, 29.55899094933847 -2.5528872131316938, 29.55617582706956 -2.5533047970734937, 29.55333333 -2.55344444, 29.550490832930443 -2.5533047970734937, 29.547675710661533 -2.5528872131316938, 29.544915074359622 -2.552195709736234, 29.542235510461413 -2.551236946442827, 29.539662824632046 -2.5500201566661023, 29.537221793242434 -2.548557058756774, 29.534935924759257 -2.5468617431475193, 29.532827233345593 -2.54495053665441, 29.53091602685248 -2.5428418452407455, 29.529220711243227 -2.5405559767575685, 29.5277576133339 -2.538114945367954, 29.526540823557173 -2.5355422595385875, 29.525582060263766 -2.5328626956403792, 29.524890556868307 -2.5301020593384678, 29.524472972926507 -2.527286937069557, 29.52433333 -2.52444444, 29.524472972926507 -2.5216019429304426, 29.524890556868307 -2.518786820661532, 29.525582060263766 -2.5160261843596206, 29.526540823557173 -2.5133466204614123, 29.5277576133339 -2.510773934632046, 29.529220711243227 -2.5083329032424313, 29.53091602685248 -2.5060470347592543, 29.532827233345593 -2.50393834334559, 29.534935924759257 -2.5020271368524805, 29.537221793242434 -2.500331821243226, 29.539662824632046 -2.4988687233338975, 29.542235510461413 -2.4976519335571727, 29.544915074359622 -2.496693170263766, 29.547675710661533 -2.496001666868306, 29.550490832930443 -2.495584082926506, 29.55333333 -2.49544444, 29.55617582706956 -2.495584082926506, 29.55899094933847 -2.496001666868306, 29.56175158564038 -2.496693170263766, 29.56443114953859 -2.4976519335571727, 29.567003835367956 -2.4988687233338975, 29.569444866757568 -2.500331821243226, 29.571730735240745 -2.5020271368524805, 29.57383942665441 -2.50393834334559, 29.57575063314752 -2.5060470347592543, 29.577445948756775 -2.5083329032424313, 29.5789090466661 -2.510773934632046, 29.58012583644283 -2.5133466204614123, 29.581084599736236 -2.5160261843596206, 29.581776103131695 -2.518786820661532, 29.582193687073495 -2.5216019429304426, 29.58233333 -2.52444444))",14710
6,Rwanda - Bukinga - 1009317,Nyaruguru,Bukinga,1009317,Cancelled,Technical,006f100000asFErAAM,2019,,5455.0,"POLYGON ((29.517056 -2.760833, 29.516916357073494 -2.763675497069557, 29.516498773131694 -2.7664906193384677, 29.515807269736236 -2.769251255640379, 29.514848506442828 -2.7719308195385874, 29.5136317166661 -2.774503505367954, 29.512168618756775 -2.7769445367575685, 29.51047330314752 -2.7792304052407455, 29.50856209665441 -2.78133909665441, 29.506453405240745 -2.7832503031475193, 29.504167536757567 -2.784945618756774, 29.501726505367955 -2.7864087166661022, 29.499153819538588 -2.787625506442827, 29.49647425564038 -2.788584269736234, 29.493713619338468 -2.7892757731316937, 29.49089849706956 -2.7896933570734936, 29.488056 -2.789833, 29.485213502930442 -2.7896933570734936, 29.482398380661532 -2.7892757731316937, 29.47963774435962 -2.788584269736234, 29.476958180461413 -2.787625506442827, 29.474385494632045 -2.7864087166661022, 29.471944463242433 -2.784945618756774, 29.469658594759256 -2.7832503031475193, 29.467549903345592 -2.78133909665441, 29.46563869685248 -2.7792304052407455, 29.463943381243226 -2.7769445367575685, 29.4624802833339 -2.774503505367954, 29.461263493557173 -2.7719308195385874, 29.460304730263765 -2.769251255640379, 29.459613226868306 -2.7664906193384677, 29.459195642926506 -2.763675497069557, 29.459056 -2.760833, 29.459195642926506 -2.7579905029304426, 29.459613226868306 -2.755175380661532, 29.460304730263765 -2.7524147443596205, 29.461263493557173 -2.7497351804614123, 29.4624802833339 -2.747162494632046, 29.463943381243226 -2.7447214632424313, 29.46563869685248 -2.7424355947592542, 29.467549903345592 -2.74032690334559, 29.469658594759256 -2.7384156968524804, 29.471944463242433 -2.736720381243226, 29.474385494632045 -2.7352572833338975, 29.476958180461413 -2.7340404935571727, 29.47963774435962 -2.7330817302637658, 29.482398380661532 -2.732390226868306, 29.485213502930442 -2.731972642926506, 29.488056 -2.731833, 29.49089849706956 -2.731972642926506, 29.493713619338468 -2.732390226868306, 29.49647425564038 -2.7330817302637658, 29.499153819538588 -2.7340404935571727, 29.501726505367955 -2.7352572833338975, 29.504167536757567 -2.736720381243226, 29.506453405240745 -2.7384156968524804, 29.50856209665441 -2.74032690334559, 29.51047330314752 -2.7424355947592542, 29.512168618756775 -2.7447214632424313, 29.5136317166661 -2.747162494632046, 29.514848506442828 -2.7497351804614123, 29.515807269736236 -2.7524147443596205, 29.516498773131694 -2.755175380661532, 29.516916357073494 -2.7579905029304426, 29.517056 -2.760833))",22533
7,Rwanda - Runyombya - 1009313,Nyaruguru,Runyombya,1009313,Identified,Identified in Needs Assessment,006f100000asF27AAE,2019,5579.0,5513.0,"POLYGON ((29.558766 -2.77142, 29.558626357073493 -2.7742624970695573, 29.558208773131692 -2.777077619338468, 29.557517269736234 -2.7798382556403793, 29.556558506442826 -2.7825178195385876, 29.5553417166661 -2.785090505367954, 29.553878618756773 -2.7875315367575686, 29.55218330314752 -2.7898174052407456, 29.550272096654407 -2.79192609665441, 29.548163405240743 -2.7938373031475194, 29.545877536757565 -2.795532618756774, 29.543436505367954 -2.7969957166661024, 29.540863819538586 -2.798212506442827, 29.538184255640378 -2.799171269736234, 29.535423619338466 -2.799862773131694, 29.532608497069557 -2.8002803570734938, 29.529766 -2.80042, 29.52692350293044 -2.8002803570734938, 29.52410838066153 -2.799862773131694, 29.52134774435962 -2.799171269736234, 29.51866818046141 -2.798212506442827, 29.516095494632044 -2.7969957166661024, 29.513654463242432 -2.795532618756774, 29.511368594759254 -2.7938373031475194, 29.50925990334559 -2.79192609665441, 29.50734869685248 -2.7898174052407456, 29.505653381243224 -2.7875315367575686, 29.504190283333898 -2.785090505367954, 29.50297349355717 -2.7825178195385876, 29.502014730263763 -2.7798382556403793, 29.501323226868305 -2.777077619338468, 29.500905642926504 -2.7742624970695573, 29.500766 -2.77142, 29.500905642926504 -2.7685775029304427, 29.501323226868305 -2.765762380661532, 29.502014730263763 -2.7630017443596206, 29.50297349355717 -2.7603221804614124, 29.504190283333898 -2.757749494632046, 29.505653381243224 -2.7553084632424314, 29.50734869685248 -2.7530225947592544, 29.50925990334559 -2.75091390334559, 29.511368594759254 -2.7490026968524806, 29.513654463242432 -2.747307381243226, 29.516095494632044 -2.7458442833338976, 29.51866818046141 -2.744627493557173, 29.52134774435962 -2.743668730263766, 29.52410838066153 -2.742977226868306, 29.52692350293044 -2.7425596429265062, 29.529766 -2.74242, 29.532608497069557 -2.7425596429265062, 29.535423619338466 -2.742977226868306, 29.538184255640378 -2.743668730263766, 29.540863819538586 -2.744627493557173, 29.543436505367954 -2.7458442833338976, 29.545877536757565 -2.747307381243226, 29.548163405240743 -2.7490026968524806, 29.550272096654407 -2.75091390334559, 29.55218330314752 -2.7530225947592544, 29.553878618756773 -2.7553084632424314, 29.5553417166661 -2.757749494632046, 29.556558506442826 -2.7603221804614124, 29.557517269736234 -2.7630017443596206, 29.558208773131692 -2.765762380661532, 29.558626357073493 -2.7685775029304427, 29.558766 -2.77142))",14291
8,Rwanda - Gihinga - 1009329,Gakenke,Gihinga,1009329,Identified,Local Investment,006f100000asYQDAA2,2019,16300.0,5567.0,"POLYGON ((29.911134 -1.829439, 29.910994357073495 -1.8322814970695573, 29.910576773131694 -1.8350966193384677, 29.909885269736236 -1.8378572556403794, 29.90892650644283 -1.8405368195385876, 29.9077097166661 -1.843109505367954, 29.906246618756775 -1.8455505367575684, 29.90455130314752 -1.8478364052407457, 29.90264009665441 -1.84994509665441, 29.900531405240745 -1.8518563031475195, 29.898245536757567 -1.8535516187567738, 29.895804505367956 -1.8550147166661024, 29.893231819538588 -1.8562315064428274, 29.89055225564038 -1.8571902697362341, 29.88779161933847 -1.8578817731316937, 29.88497649706956 -1.8582993570734938, 29.882134 -1.858439, 29.879291502930442 -1.8582993570734938, 29.876476380661533 -1.8578817731316937, 29.87371574435962 -1.8571902697362341, 29.871036180461413 -1.8562315064428274, 29.868463494632046 -1.8550147166661024, 29.866022463242434 -1.8535516187567738, 29.863736594759256 -1.8518563031475195, 29.861627903345592 -1.84994509665441, 29.85971669685248 -1.8478364052407457, 29.858021381243226 -1.8455505367575684, 29.8565582833339 -1.843109505367954, 29.855341493557173 -1.8405368195385876, 29.854382730263765 -1.8378572556403794, 29.853691226868307 -1.8350966193384677, 29.853273642926506 -1.8322814970695573, 29.853134 -1.829439, 29.853273642926506 -1.8265965029304427, 29.853691226868307 -1.8237813806615324, 29.854382730263765 -1.8210207443596207, 29.855341493557173 -1.8183411804614125, 29.8565582833339 -1.815768494632046, 29.858021381243226 -1.8133274632424317, 29.85971669685248 -1.8110415947592544, 29.861627903345592 -1.80893290334559, 29.863736594759256 -1.8070216968524806, 29.866022463242434 -1.8053263812432263, 29.868463494632046 -1.8038632833338977, 29.871036180461413 -1.8026464935571727, 29.87371574435962 -1.801687730263766, 29.876476380661533 -1.8009962268683064, 29.879291502930442 -1.8005786429265063, 29.882134 -1.8004390000000001, 29.88497649706956 -1.8005786429265063, 29.88779161933847 -1.8009962268683064, 29.89055225564038 -1.801687730263766, 29.893231819538588 -1.8026464935571727, 29.895804505367956 -1.8038632833338977, 29.898245536757567 -1.8053263812432263, 29.900531405240745 -1.8070216968524806, 29.90264009665441 -1.80893290334559, 29.90455130314752 -1.8110415947592542, 29.906246618756775 -1.8133274632424317, 29.9077097166661 -1.815768494632046, 29.90892650644283 -1.8183411804614125, 29.909885269736236 -1.8210207443596207, 29.910576773131694 -1.8237813806615324, 29.910994357073495 -1.8265965029304427, 29.911134 -1.829439))",12580
9,Rwanda - Mataba - 1022231,Muhanga,Mataba,1022231,Identified,Requested,0063Z00000hvy7AQAQ,2021,500.0,,"POLYGON ((29.811109 -1.976608, 29.810969357073493 -1.9794504970695572, 29.810551773131692 -1.9822656193384676, 29.809860269736234 -1.9850262556403793, 29.808901506442826 -1.9877058195385875, 29.8076847166661 -1.990278505367954, 29.806221618756773 -1.9927195367575683, 29.80452630314752 -1.9950054052407455, 29.802615096654407 -1.9971140966544099, 29.800506405240743 -1.9990253031475194, 29.798220536757565 -2.0007206187567736, 29.795779505367953 -2.002183716666102, 29.793206819538586 -2.0034005064428273, 29.790527255640377 -2.004359269736234, 29.787766619338466 -2.0050507731316936, 29.784951497069557 -2.0054683570734935, 29.782109 -2.005608, 29.77926650293044 -2.0054683570734935, 29.77645138066153 -2.0050507731316936, 29.77369074435962 -2.004359269736234, 29.77101118046141 -2.0034005064428273, 29.768438494632044 -2.002183716666102, 29.76599746324243 -2.0007206187567736, 29.763711594759254 -1.9990253031475194, 29.76160290334559 -1.9971140966544099, 29.759691696852478 -1.9950054052407455, 29.757996381243224 -1.9927195367575683, 29.756533283333898 -1.990278505367954, 29.75531649355717 -1.9877058195385875, 29.754357730263763 -1.9850262556403793, 29.753666226868305 -1.9822656193384676, 29.753248642926504 -1.9794504970695572, 29.753109 -1.976608, 29.753248642926504 -1.9737655029304426, 29.753666226868305 -1.9709503806615323, 29.754357730263763 -1.9681897443596206, 29.75531649355717 -1.9655101804614123, 29.756533283333898 -1.962937494632046, 29.757996381243224 -1.9604964632424315, 29.759691696852478 -1.9582105947592543, 29.76160290334559 -1.95610190334559, 29.763711594759254 -1.9541906968524805, 29.76599746324243 -1.9524953812432262, 29.768438494632044 -1.9510322833338976, 29.77101118046141 -1.9498154935571725, 29.77369074435962 -1.9488567302637658, 29.77645138066153 -1.9481652268683063, 29.77926650293044 -1.9477476429265062, 29.782109 -1.947608, 29.784951497069557 -1.9477476429265062, 29.787766619338466 -1.9481652268683063, 29.790527255640377 -1.9488567302637658, 29.793206819538586 -1.9498154935571725, 29.795779505367953 -1.9510322833338976, 29.798220536757565 -1.9524953812432262, 29.800506405240743 -1.9541906968524805, 29.802615096654407 -1.95610190334559, 29.80452630314752 -1.958210594759254, 29.806221618756773 -1.9604964632424315, 29.8076847166661 -1.962937494632046, 29.808901506442826 -1.9655101804614123, 29.809860269736234 -1.9681897443596206, 29.810551773131692 -1.9709503806615323, 29.810969357073493 -1.9737655029304426, 29.811109 -1.976608))",15308
