Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
- Kikambajo - 1037598,Hoima,Kikambajo,1037598,Identified,,2021,1.636795,31.33357,,
Uganda - Kicalaca-Kanyatete - 1022733,Kabarole,Kicalaca-Kanyatete,1022733,Identified,Identified in Needs Assessment,2020,0.725351,30.293658,1820,
Uganda - Kakonkome - 1022735,Kabarole,Kakonkome,1022735,Identified,Identified in Needs Assessment,2020,0.681862,30.286775,7360,
Uganda - Magunga- Nyakagongo - 1022726,Kabarole,Magunga- Nyakagongo,1022726,Identified,Identified in Needs Assessment,2021,0.590396,30.203002,11150,
Uganda - Kikonge-Bwanika - 1022734,Kabarole,Kikonge-Bwanika,1022734,Identified,Identified in Needs Assessment,2020,0.703121,30.262914,4660,
Uganda - Kisakyabairu - 1022731,Kabarole,Kisakyabairu,1022731,Prospecting,,2022,0.66497,30.34284,6050,
Uganda - Mount Gessi - 1022738,Kabarole,Mount Gessi,1022738,Identified,Identified in Needs Assessment,2020,0.660638,30.149988,2177,
Uganda - Masaka-munsiso - 1022724,Kabarole,Masaka-munsiso,1022724,Complete,In Service,2022,0.862348,30.484131,11100,
Uganda - Karwoma - 1022728,Kabarole,Karwoma,1022728,Identified,Identified in Needs Assessment,2021,0.595394,30.178,4250,
Uganda - Kakundwa-Nyantaboma - 1022745,Kabarole,Kakundwa-Nyantaboma,1022745,Identified,Identified in Needs Assessment,2020,0.731018,30.305661,2000,
Uganda - Mugoma-kasindukwa - 1022725,Kabarole,Mugoma-kasindukwa,1022725,Identified,Identified in Needs Assessment,2020,0.681577,30.251207,1450,
Uganda - Kyeihembe-kijenga - 1022742,Kabarole,Kyeihembe-kijenga,1022742,Identified,Identified in Needs Assessment,2020,0.745246,30.339555,800,
Uganda - Kitaraka - 1015936,Kabale,Kitaraka,1015936,Rejected,Technical,2019,-1.126653,30.048267,18000,
Uganda - Busingye B - 1025803,Kabarole,Busingye B,1025803,Identified,Identified in Needs Assessment,2021,0.430056,30.307272,0,
Uganda - Buhara-Saaka - 1025797,Kabarole,Buhara-Saaka,1025797,Rejected,Technical,2021,0.701557,30.242663,0,
Uganda - Kyangabukama-Nyabikere - 1025801,Kabarole,Kyangabukama-Nyabikere,1025801,Identified,Identified in Needs Assessment,2021,0.493074,30.326706,0,
Uganda - Iruhuura-Kanyeriire - 1025799,Kabarole,Iruhuura-Kanyeriire,1025799,Identified,Identified in Needs Assessment,2021,0.465001,30.305085,0,
Uganda - Bwanika-Nyankwanzi - 1025796,Kabarole,Bwanika-Nyankwanzi,1025796,Identified,Identified in Needs Assessment,2021,0.722058,30.233111,0,
Uganda - Kishanda-kisegere - 1039081,Kanungu,Kishanda-kisegere,1039081,Complete,In Service,2023,-0.936912,29.657129,2090,
Uganda - Nabowa - 1013998,Bundibugyo,Nabowa,1013998,Identified,Identified in Needs Assessment,2019,0.660758,29.972717,1290,
Uganda - Kameme(kanungu)- Garuka(rukungiri) - 1039101,Kanungu,Kameme(kanungu)- Garuka(rukungiri),1039101,Identified,Identified in Needs Assessment,2023,-0.613461,29.740466,1480,
